RM,LSTAT,PTRATIO,MEDV
6.575,4.98,15.3,24
6.421,9.14,17.8,21.6
7.185,4.03,17.8,34.7
6.998,2.94,18.7,33.4
7.147,5.33,18.7,36.2
6.43,5.21,18.7,28.7
6.012,12.43,15.2,22.9
6.172,19.15,15.2,27.1
5.631,29.93,15.2,16.5
6.004,17.1,15.2,18.9
6.377,20.45,15.2,15
6.009,13.27,15.2,18.9
5.889,15.71,15.2,21.7
5.949,8.26,21,20.4
6.096,10.26,21,18.2
5.834,8.47,21,19.9
5.935,6.58,21,23.1
5.99,14.67,21,17.5
5.456,11.69,21,20.2
5.727,11.28,21,18.2
5.57,21.02,21,13.6
5.965,13.83,21,19.6
6.142,18.72,21,15.2
5.813,19.88,21,14.5
5.924,16.3,21,15.6
5.599,16.51,21,13.9
5.813,14.81,21,16.6
6.047,17.28,21,14.8
6.495,12.8,21,18.4
6.674,11.98,21,21
5.713,22.6,21,12.7
6.072,13.04,21,14.5
5.95,27.71,21,13.2
5.701,18.35,21,13.1
6.096,20.34,21,13.5
5.933,9.68,19.2,18.9
5.841,11.41,19.2,20
5.85,8.77,19.2,21
5.966,10.13,19.2,24.7
6.595,4.32,18.3,30.8
7.024,1.98,18.3,34.9
6.77,4.84,17.9,26.6
6.169,5.81,17.9,25.3
6.211,7.44,17.9,24.7
6.069,9.55,17.9,21.2
5.682,10.21,17.9,19.3
5.786,14.15,17.9,20
6.03,18.8,17.9,16.6
5.399,30.81,17.9,14.4
5.602,16.2,17.9,19.4
5.963,13.45,16.8,19.7
6.115,9.43,16.8,20.5
6.511,5.28,16.8,25
5.998,8.43,16.8,23.4
5.888,14.8,21.1,18.9
7.249,4.81,17.9,35.4
6.383,5.77,17.3,24.7
6.816,3.95,15.1,31.6
6.145,6.86,19.7,23.3
5.927,9.22,19.7,19.6
5.741,13.15,19.7,18.7
5.966,14.44,19.7,16
6.456,6.73,19.7,22.2
6.762,9.5,19.7,25
7.104,8.05,18.6,33
6.29,4.67,16.1,23.5
5.787,10.24,16.1,19.4
5.878,8.1,18.9,22
5.594,13.09,18.9,17.4
5.885,8.79,18.9,20.9
6.417,6.72,19.2,24.2
5.961,9.88,19.2,21.7
6.065,5.52,19.2,22.8
6.245,7.54,19.2,23.4
6.273,6.78,18.7,24.1
6.286,8.94,18.7,21.4
6.279,11.97,18.7,20
6.14,10.27,18.7,20.8
6.232,12.34,18.7,21.2
5.874,9.1,18.7,20.3
6.727,5.29,19,28
6.619,7.22,19,23.9
6.302,6.72,19,24.8
6.167,7.51,19,22.9
6.389,9.62,18.5,23.9
6.63,6.53,18.5,26.6
6.015,12.86,18.5,22.5
6.121,8.44,18.5,22.2
7.007,5.5,17.8,23.6
7.079,5.7,17.8,28.7
6.417,8.81,17.8,22.6
6.405,8.2,17.8,22
6.442,8.16,18.2,22.9
6.211,6.21,18.2,25
6.249,10.59,18.2,20.6
6.625,6.65,18,28.4
6.163,11.34,18,21.4
8.069,4.21,18,38.7
7.82,3.57,18,43.8
7.416,6.19,18,33.2
6.727,9.42,20.9,27.5
6.781,7.67,20.9,26.5
6.405,10.63,20.9,18.6
6.137,13.44,20.9,19.3
6.167,12.33,20.9,20.1
5.851,16.47,20.9,19.5
5.836,18.66,20.9,19.5
6.127,14.09,20.9,20.4
6.474,12.27,20.9,19.8
6.229,15.55,20.9,19.4
6.195,13,20.9,21.7
6.715,10.16,17.8,22.8
5.913,16.21,17.8,18.8
6.092,17.09,17.8,18.7
6.254,10.45,17.8,18.5
5.928,15.76,17.8,18.3
6.176,12.04,17.8,21.2
6.021,10.3,17.8,19.2
5.872,15.37,17.8,20.4
5.731,13.61,17.8,19.3
5.87,14.37,19.1,22
6.004,14.27,19.1,20.3
5.961,17.93,19.1,20.5
5.856,25.41,19.1,17.3
5.879,17.58,19.1,18.8
5.986,14.81,19.1,21.4
5.613,27.26,19.1,15.7
5.693,17.19,21.2,16.2
6.431,15.39,21.2,18
5.637,18.34,21.2,14.3
6.458,12.6,21.2,19.2
6.326,12.26,21.2,19.6
6.372,11.12,21.2,23
5.822,15.03,21.2,18.4
5.757,17.31,21.2,15.6
6.335,16.96,21.2,18.1
5.942,16.9,21.2,17.4
6.454,14.59,21.2,17.1
5.857,21.32,21.2,13.3
6.151,18.46,21.2,17.8
6.174,24.16,21.2,14
5.019,34.41,21.2,14.4
5.403,26.82,14.7,13.4
5.468,26.42,14.7,15.6
4.903,29.29,14.7,11.8
6.13,27.8,14.7,13.8
5.628,16.65,14.7,15.6
4.926,29.53,14.7,14.6
5.186,28.32,14.7,17.8
5.597,21.45,14.7,15.4
6.122,14.1,14.7,21.5
5.404,13.28,14.7,19.6
5.012,12.12,14.7,15.3
5.709,15.79,14.7,19.4
6.129,15.12,14.7,17
6.152,15.02,14.7,15.6
5.272,16.14,14.7,13.1
6.943,4.59,14.7,41.3
6.066,6.43,14.7,24.3
6.51,7.39,14.7,23.3
6.25,5.5,14.7,27
5.854,11.64,14.7,50
6.101,9.81,14.7,50
5.877,12.14,14.7,50
6.319,11.1,14.7,22.7
6.402,11.32,14.7,25
5.875,14.43,14.7,50
5.88,12.03,14.7,23.8
5.572,14.69,16.6,23.8
6.416,9.04,16.6,22.3
5.859,9.64,16.6,17.4
6.546,5.33,16.6,19.1
6.02,10.11,16.6,23.1
6.315,6.29,16.6,23.6
6.86,6.92,16.6,22.6
6.98,5.04,17.8,29.4
7.765,7.56,17.8,23.2
6.144,9.45,17.8,24.6
7.155,4.82,17.8,29.9
6.563,5.68,17.8,37.2
5.604,13.98,17.8,39.8
6.153,13.15,17.8,36.2
6.782,6.68,15.2,37.9
6.556,4.56,15.2,32.5
7.185,5.39,15.2,26.4
6.951,5.1,15.2,29.6
6.739,4.69,15.2,50
7.178,2.87,15.2,32
6.8,5.03,15.6,29.8
6.604,4.38,15.6,34.9
7.287,4.08,12.6,37
7.107,8.61,12.6,30.5
7.274,6.62,12.6,36.4
6.975,4.56,17,31.1
7.135,4.45,17,29.1
6.162,7.43,14.7,50
7.61,3.11,14.7,33.3
7.853,3.81,14.7,30.3
5.891,10.87,18.6,34.6
6.326,10.97,18.6,34.9
5.783,18.06,18.6,32.9
6.064,14.66,18.6,24.1
5.344,23.09,18.6,42.3
5.96,17.27,18.6,48.5
5.404,23.98,18.6,50
5.807,16.03,18.6,22.6
6.375,9.38,18.6,24.4
5.412,29.55,18.6,22.5
6.182,9.47,18.6,24.4
5.888,13.51,16.4,20
6.642,9.69,16.4,21.7
5.951,17.92,16.4,19.3
6.373,10.5,16.4,22.4
6.951,9.71,17.4,28.1
6.164,21.46,17.4,23.7
6.879,9.93,17.4,25
6.618,7.6,17.4,23.3
8.266,4.14,17.4,28.7
8.04,3.13,17.4,21.5
7.163,6.36,17.4,23
7.686,3.92,17.4,26.7
6.552,3.76,17.4,21.7
5.981,11.65,17.4,27.5
7.412,5.25,17.4,30.1
8.337,2.47,17.4,44.8
8.247,3.95,17.4,50
6.726,8.05,17.4,37.6
6.086,10.88,17.4,31.6
6.631,9.54,17.4,46.7
7.358,4.73,17.4,31.5
6.481,6.36,16.6,24.3
6.606,7.37,16.6,31.7
6.897,11.38,16.6,41.7
6.095,12.4,16.6,48.3
6.358,11.22,16.6,29
6.393,5.19,16.6,24
5.593,12.5,19.1,25.1
5.605,18.46,19.1,31.5
6.108,9.16,19.1,23.7
6.226,10.15,19.1,23.3
6.433,9.52,19.1,22
6.718,6.56,19.1,20.1
6.487,5.9,19.1,22.2
6.438,3.59,19.1,23.7
6.957,3.53,19.1,17.6
8.259,3.54,19.1,18.5
6.108,6.57,16.4,24.3
5.876,9.25,16.4,20.5
7.454,3.11,15.9,24.5
7.333,7.79,13,26.2
6.842,6.9,13,24.4
7.203,9.59,13,24.8
7.52,7.26,13,29.6
8.398,5.91,13,42.8
7.327,11.25,13,21.9
7.206,8.1,13,20.9
5.56,10.45,13,44
7.014,14.79,13,50
7.47,3.16,13,36
5.92,13.65,18.6,30.1
5.856,13,18.6,33.8
6.24,6.59,18.6,43.1
6.538,7.73,18.6,48.8
7.691,6.58,18.6,31
6.758,3.53,17.6,36.5
6.854,2.98,17.6,22.8
7.267,6.05,17.6,30.7
6.826,4.16,17.6,50
6.482,7.19,17.6,43.5
6.812,4.85,14.9,20.7
7.82,3.76,14.9,21.1
6.968,4.59,14.9,25.2
7.645,3.01,14.9,24.4
7.088,7.85,15.3,35.2
6.453,8.23,15.3,32.4
6.23,12.93,18.2,32
6.209,7.14,16.6,33.2
6.315,7.6,16.6,33.1
6.565,9.51,16.6,29.1
6.861,3.33,19.2,35.1
7.148,3.56,19.2,45.4
6.63,4.7,19.2,35.4
6.127,8.58,16,46
6.009,10.4,16,50
6.678,6.27,16,32.2
6.549,7.39,16,22
5.79,15.84,16,20.1
6.345,4.97,14.8,23.2
7.041,4.74,14.8,22.3
6.871,6.07,14.8,24.8
6.59,9.5,16.1,28.5
6.495,8.67,16.1,37.3
6.982,4.86,16.1,27.9
7.236,6.93,18.4,23.9
6.616,8.93,18.4,21.7
7.42,6.47,18.4,28.6
6.849,7.53,18.4,27.1
6.635,4.54,18.4,20.3
5.972,9.97,18.4,22.5
4.973,12.64,18.4,29
6.122,5.98,18.4,24.8
6.023,11.72,18.4,22
6.266,7.9,18.4,26.4
6.567,9.28,18.4,33.1
5.705,11.5,18.4,36.1
